,index,MSN,YYYYMM,Unit,Coal Consumed by the Commercial Sector,Natural Gas Consumed by the Commercial Sector (Excluding Supplemental Gaseous Fuels),Petroleum Consumed by the Commercial Sector (Excluding Biofuels),Total Renewable Energy Consumed by the Commercial Sector,Electricity Sales to Ultimate Customers in the Commercial Sector,End-Use Energy Consumed by the Commercial Sector,Electrical Energy System Losses Proportioned to the Commercial Sector,Total Energy Consumed by the Commercial Sector,date,Total Energy
0,8517,TNCCBUS,200601,Trillion Btu,6.892,406.976,75.901,10.257,347.797,847.822,729.798,1577.62,200601,1577.62
1,8518,TNCCBUS,200602,Trillion Btu,6.263,399.844,78.765,9.348,326.573,820.793,689.807,1510.6,200602,1510.6
2,8519,TNCCBUS,200603,Trillion Btu,6.282,361.648,72.076,9.837,345.006,794.848,730.396,1525.244,200603,1525.244
3,8520,TNCCBUS,200604,Trillion Btu,4.132,231.267,51.241,9.866,329.433,625.938,707.292,1333.23,200604,1333.23
4,8521,TNCCBUS,200605,Trillion Btu,4.294,164.332,47.427,10.586,363.18,589.819,821.705,1411.524,200605,1411.524
5,8522,TNCCBUS,200606,Trillion Btu,4.532,137.468,41.908,10.039,395.06,589.008,871.721,1460.729,200606,1460.729
6,8523,TNCCBUS,200607,Trillion Btu,4.547,124.906,41,10.196,428.347,608.996,948.378,1557.374,200607,1557.374
7,8524,TNCCBUS,200608,Trillion Btu,4.551,129.488,41.872,10.181,435.558,621.651,930.616,1552.267,200608,1552.267
8,8525,TNCCBUS,200609,Trillion Btu,3.859,136.183,43.414,9.798,389.755,583.008,768.723,1351.731,200609,1351.731
9,8526,TNCCBUS,200610,Trillion Btu,5.534,192.124,48.134,10.098,371.908,627.798,787.734,1415.532,200610,1415.532
10,8527,TNCCBUS,200611,Trillion Btu,6.47,262.47,52.43,9.96,344.966,676.296,751.508,1427.804,200611,1427.804
11,8528,TNCCBUS,200612,Trillion Btu,7.433,355.227,66.698,10.283,357.144,796.785,788.779,1585.564,200612,1585.564
12,8529,TNCCBUS,200613,Trillion Btu,64.789,2901.687,660.865,120.45,4434.725,8182.517,9525.101,17707.618,200613,17707.618
13,8530,TNCCBUS,200701,Trillion Btu,7.336,442.176,69.998,10.299,363.949,893.759,806.834,1700.593,200701,1700.593
14,8531,TNCCBUS,200702,Trillion Btu,7.122,489.022,73.344,9.187,343.781,922.455,706.125,1628.581,200702,1628.581
15,8532,TNCCBUS,200703,Trillion Btu,6.552,362.741,68.928,10.359,350.208,798.788,741.351,1540.139,200703,1540.139
16,8533,TNCCBUS,200704,Trillion Btu,4.797,266.056,44.588,10.066,344.787,670.294,735.155,1405.449,200704,1405.449
17,8534,TNCCBUS,200705,Trillion Btu,4.697,172.414,34.785,10.445,370.403,592.744,818.515,1411.259,200705,1411.259
18,8535,TNCCBUS,200706,Trillion Btu,4.513,137.896,36.207,10.105,400.405,589.126,877.854,1466.981,200706,1466.981
19,8536,TNCCBUS,200707,Trillion Btu,4.621,125.288,36.457,10.428,422.826,599.619,920.94,1520.559,200707,1520.559
20,8537,TNCCBUS,200708,Trillion Btu,4.94,130.106,40.039,10.289,445.18,630.553,982.161,1612.714,200708,1612.714
21,8538,TNCCBUS,200709,Trillion Btu,4.446,130.267,40.93,9.924,409.093,594.66,810.636,1405.296,200709,1405.296
22,8539,TNCCBUS,200710,Trillion Btu,6.041,161.374,47.909,10.34,390.61,616.274,805.033,1421.307,200710,1421.307
23,8540,TNCCBUS,200711,Trillion Btu,7.188,263.268,62.666,10.111,356.906,700.14,757.818,1457.958,200711,1457.958
24,8541,TNCCBUS,200712,Trillion Btu,7.782,404.833,90.099,10.353,361.36,874.427,806.866,1681.293,200712,1681.293
25,8542,TNCCBUS,200713,Trillion Btu,70.035,3085.052,645.95,121.906,4559.507,8482.451,9770.938,18253.389,200713,18253.389
26,8543,TNCCBUS,200801,Trillion Btu,9.108,489.054,88.341,10.792,372.117,969.412,796.38,1765.792,200801,1765.792
27,8544,TNCCBUS,200802,Trillion Btu,8.372,470.252,83.224,10.114,356.202,928.163,722.31,1650.473,200802,1650.473
28,8545,TNCCBUS,200803,Trillion Btu,8.124,389.775,67.542,10.913,352.578,828.931,747.536,1576.467,200803,1576.467
29,8546,TNCCBUS,200804,Trillion Btu,5.301,261.274,51.092,11.009,346.275,674.95,731.55,1406.5,200804,1406.5
30,8547,TNCCBUS,200805,Trillion Btu,5.326,183.926,40.267,11.247,366.7,607.466,815.211,1422.677,200805,1422.677
31,8548,TNCCBUS,200806,Trillion Btu,6.518,136.867,39.211,11.068,407.301,600.964,909.252,1510.216,200806,1510.216
