,index,MSN,YYYYMM,Unit,Coal Consumed by the Industrial Sector,Natural Gas Consumed by the Industrial Sector (Excluding Supplemental Gaseous Fuels),Petroleum Consumed by the Industrial Sector (Excluding Biofuels),Total Renewable Energy Consumed by the Industrial Sector,Electricity Sales to Ultimate Customers in the Industrial Sector,Electrical Energy System Losses Proportioned to the Industrial Sector,Total Energy Consumed by the Industrial Sector,date,Total Energy
0,8517,TNICBUS,200601,Trillion Btu,161.421,692.62,799.959,170.918,279.322,586.115,2692.366,200601,2692.366
1,8518,TNICBUS,200602,Trillion Btu,159.341,662.016,687.142,149.651,273.667,578.055,2513.583,200602,2513.583
2,8519,TNICBUS,200603,Trillion Btu,164.249,698.139,790.691,158.209,284.097,601.448,2703.433,200603,2703.433
3,8520,TNICBUS,200604,Trillion Btu,154.57,642.499,743.056,152.184,278.748,598.472,2573.034,200604,2573.034
4,8521,TNICBUS,200605,Trillion Btu,157.399,631.074,826.308,156.037,294.043,665.28,2733.725,200605,2733.725
5,8522,TNICBUS,200606,Trillion Btu,157.085,617.208,848.565,155.276,295.581,652.216,2731.536,200606,2731.536
6,8523,TNICBUS,200607,Trillion Btu,158.23,623.701,800.972,164.523,303.258,671.428,2725.837,200607,2725.837
7,8524,TNICBUS,200608,Trillion Btu,157.742,643.293,897.42,163.557,308.052,658.185,2830.847,200608,2830.847
8,8525,TNICBUS,200609,Trillion Btu,158.45,630.032,846.634,159.268,294.674,581.193,2683.1,200609,2683.1
9,8526,TNICBUS,200610,Trillion Btu,167.58,658.521,848.444,165.149,291.172,616.727,2760.305,200610,2760.305
10,8527,TNICBUS,200611,Trillion Btu,160.745,665.985,821.155,162.147,275.188,599.498,2685.737,200611,2685.737
11,8528,TNICBUS,200612,Trillion Btu,157.654,695.723,782.698,168.867,272.746,602.379,2682.93,200612,2682.93
12,8529,TNICBUS,200613,Trillion Btu,1914.466,7861.025,9693.044,1925.785,3450.547,7411.239,32316.894,200613,32316.894
13,8530,TNICBUS,200701,Trillion Btu,156.678,740.043,790.725,166.368,281.096,623.157,2761.272,200701,2761.272
14,8531,TNICBUS,200702,Trillion Btu,154.158,708.858,725.11,151.618,267.473,549.389,2557.327,200702,2557.327
15,8532,TNICBUS,200703,Trillion Btu,162.083,698.508,778.971,163.868,281.771,596.478,2680.491,200703,2680.491
16,8533,TNICBUS,200704,Trillion Btu,153.848,654.02,773.627,160.718,284.429,606.46,2634.549,200704,2634.549
17,8534,TNICBUS,200705,Trillion Btu,156.124,641.18,829.142,162.229,297.667,657.782,2746.887,200705,2746.887
18,8535,TNICBUS,200706,Trillion Btu,155.893,626.601,777.741,158.026,298.796,655.085,2677.712,200706,2677.712
19,8536,TNICBUS,200707,Trillion Btu,153.01,628.748,801.914,165.415,303.727,661.537,2712.898,200707,2712.898
20,8537,TNICBUS,200708,Trillion Btu,151.794,650.585,820.152,163.071,314.297,693.406,2795.741,200708,2795.741
21,8538,TNICBUS,200709,Trillion Btu,151.749,633.982,792.752,158.671,298.303,591.1,2629.968,200709,2629.968
22,8539,TNICBUS,200710,Trillion Btu,157.77,661.692,801.178,166.732,303.313,625.117,2715.648,200710,2715.648
