,index,MSN,YYYYMM,Unit,Coal Consumed by the Residential Sector,Natural Gas Consumed by the Residential Sector (Excluding Supplemental Gaseous Fuels),Petroleum Consumed by the Residential Sector,Electricity Sales to Ultimate Customers in the Residential Sector,Electricity Energy System Losses Proportioned to the Residential Sector,Total Energy Consumed by the Residential Sector,date,Total Energy
0,8517,TERCBUS,200601,Trillion Btu,0.682,731.646,151.66,410.869,862.146,2193.675,200601,2193.675
1,8518,TERCBUS,200602,Trillion Btu,0.619,719.882,159.726,356.592,753.213,2023.652,200602,2023.652
2,8519,TERCBUS,200603,Trillion Btu,0.621,641.487,143.238,358.107,758.132,1939.638,200603,1939.638
3,8520,TERCBUS,200604,Trillion Btu,0.409,364.287,95.168,304.944,654.716,1456.917,200604,1456.917
4,8521,TERCBUS,200605,Trillion Btu,0.425,208.609,80.76,320.728,725.656,1375.146,200605,1375.146
5,8522,TERCBUS,200606,Trillion Btu,0.448,144.522,65.409,405.398,894.532,1548.233,200606,1548.233
6,8523,TERCBUS,200607,Trillion Btu,0.45,118.424,63.563,502.718,1113.041,1837.468,200607,1837.468
7,8524,TERCBUS,200608,Trillion Btu,0.45,111.091,64.643,512.02,1093.985,1821.405,200608,1821.405
8,8525,TERCBUS,200609,Trillion Btu,0.382,127.892,70.598,396.038,781.116,1413.676,200609,1413.676
9,8526,TERCBUS,200610,Trillion Btu,0.547,246.223,88.663,328.392,695.563,1397.695,200610,1397.695
10,8527,TERCBUS,200611,Trillion Btu,0.64,423.51,102.577,323.604,704.971,1591.712,200611,1591.712
11,8528,TERCBUS,200612,Trillion Btu,0.735,638.99,135.848,391.976,865.707,2070.571,200612,2070.571
12,8529,TERCBUS,200613,Trillion Btu,6.408,4475.913,1221.853,4611.386,9904.541,20670.902,200613,20670.902
13,8530,TERCBUS,200701,Trillion Btu,0.815,822.543,158.461,427.477,947.666,2397.484,200701,2397.484
14,8531,TERCBUS,200702,Trillion Btu,0.791,921.641,163.241,414.436,851.251,2388.481,200702,2388.481
15,8532,TERCBUS,200703,Trillion Btu,0.728,631.266,136.28,360.631,763.414,1934.287,200703,1934.287
16,8533,TERCBUS,200704,Trillion Btu,0.533,417.448,90.158,308.042,656.808,1514.199,200704,1514.199
17,8534,TERCBUS,200705,Trillion Btu,0.522,220.934,59.238,328.879,726.755,1379.256,200705,1379.256
18,8535,TERCBUS,200706,Trillion Btu,0.501,140.352,56.547,400.629,878.346,1518.141,200706,1518.141
19,8536,TERCBUS,200707,Trillion Btu,0.513,120.384,54.929,474.36,1033.186,1726.62,200707,1726.62
20,8537,TERCBUS,200708,Trillion Btu,0.549,114.68,62.41,512.146,1129.903,1862.877,200708,1862.877
21,8538,TERCBUS,200709,Trillion Btu,0.494,119.134,66.652,441.895,875.634,1545.29,200709,1545.29
22,8539,TERCBUS,200710,Trillion Btu,0.671,178.341,84.768,354.008,729.599,1389.622,200710,1389.622
23,8540,TERCBUS,200711,Trillion Btu,0.799,414.967,128.414,327.227,694.8,1606.388,200711,1606.388
24,8541,TERCBUS,200712,Trillion Btu,0.865,734.806,188.072,400.596,894.474,2260.008,200712,2260.008
25,8542,TERCBUS,200713,Trillion Btu,7.782,4835.44,1249.169,4750.326,10179.859,21519.623,200713,21519.623
26,8543,TERCBUS,200801,Trillion Btu,Not Available,905.691,194.307,455.053,973.874,2574.135,200801,2574.135
27,8544,TERCBUS,200802,Trillion Btu,Not Available,838.635,178.311,404.505,820.259,2284.454,200802,2284.454
28,8545,TERCBUS,200803,Trillion Btu,Not Available,672.317,145.208,365.638,775.227,2005.137,200803,2005.137
29,8546,TERCBUS,200804,Trillion Btu,Not Available,397.749,99.954,314.47,664.358,1522.401,200804,1522.401
30,8547,TERCBUS,200805,Trillion Btu,Not Available,235.586,74.669,314.742,699.704,1372.467,200805,1372.467
31,8548,TERCBUS,200806,Trillion Btu,Not Available,147.693,63.953,414.134,924.508,1596.749,200806,1596.749
32,8549,TERCBUS,200807,Trillion Btu,Not Available,121.195,60.861,488.527,1064.526,1783.214,200807,1783.214
33,8550,TERCBUS,200808,Trillion Btu,Not Available,113.899,57.499,472.425,1010.943,1702.808,200808,1702.808
34,8551,TERCBUS,200809,Trillion Btu,Not Available,120.878,62.951,399.471,797.35,1426.808,200809,1426.808
35,8552,TERCBUS,200810,Trillion Btu,Not Available,223.184,88.038,327.929,685.037,1371.217,200810,1371.217
36,8553,TERCBUS,200811,Trillion Btu,Not Available,443.753,118.736,326.755,710.326,1644.348,200811,1644.348
37,8554,TERCBUS,200812,Trillion Btu,Not Available,790.83,180.025,427.167,942.307,2386.255,200812,2386.255
38,8555,TERCBUS,200813,Trillion Btu,Not Available,5010.061,1324.511,4710.818,10068.121,21668.347,200813,21668.347
39,8556,TERCBUS,200901,Trillion Btu,Not Available,969.274,175.527,464.813,994.644,2653.09,200901,2653.09
40,8557,TERCBUS,200902,Trillion Btu,Not Available,773.405,139.926,393.104,774.376,2125.484,200902,2125.484
41,8558,TERCBUS,200903,Trillion Btu,Not Available,613.591,126.967,363.383,757.746,1912.091,200903,1912.091
42,8559,TERCBUS,200904,Trillion Btu,Not Available,398.744,92.07,312.646,651.989,1504.874,200904,1504.874
43,8560,TERCBUS,200905,Trillion Btu,Not Available,205.634,62.476,321.793,713.283,1354.634,200905,1354.634
