*Template - reference and use as needed,,,FY2006 Energy Usages,,,
Building Code,Address,Property Type,E (kWh),G(therms),O(gallon),Building Gross Footage
500,10 Buick Street,Residential,13205241.58,1658548.00,253894.70,384941.16
506,112 BAY STATE ROAD,Residential,15476,852.00,2571.70,4961.74
508,183 BAY STATE ROAD,Residential,21382,7269.00,0.00,8621.75
509,610 BEACON STREET,Residential,1201216,4408.00,99773.00,203525.46
510,68-70 BAY STATE ROAD,Residential,18803,0.00,0.00,11906.90
512,69 BAY STATE ROAD,Residential,42136.42,13568.00,0.00,8736.45
514,79 BAY STATE ROAD,Residential,26833,1658.00,3544.30,11435.95
515,81 BAY STATE ROAD,Residential,80168,10035.00,3775.80,10703.48
516,90-92 BAY STATE ROAD,Residential,52177,4052.00,1483.10,12349.05
518,91 Bay State Road,Residential,1266800,5469.00,60751.40,113335.15
519,96 Bay State Road,Residential,60568,20143.00,0.00,28553.25
522,140 Bay State Road,Residential,1457880,91418.00,35656.90,127815.20
525,192 BAY STATE ROAD,Residential,23609,0.00,0.00,5128.24
527,153 BAY STATE ROAD,Residential,52164,6846.00,0.00,8140.83
528,159 Bay State Road,Residential,90699,3420.00,6648.70,7397.32
529,164 BAY STATE ROAD,Residential,22961,0.00,3343.90,6082.02
530,167-169 BAY STATE ROAD,Residential,58123,11039.00,0.00,13947.58
531,158-162 BAY STATE ROAD,Residential,90051,4135.00,5056.30,14907.94
532,176 BAY STATE ROAD,Residential,53468,2514.00,0.00,4903.89
533,175 BAY STATE ROAD,Residential,39059,8945.00,0.00,6898.98
534,166-168 BAY STATE ROAD,Residential,81102,6118.00,0.00,12453.16
535,182 BAY STATE ROAD,Residential,83808,9248.00,0.00,4951.86
537,208 BAY STATE ROAD,Residential,38825,3582.00,0.00,6546.28
538,206 BAY STATE ROAD,Residential,44291,4382.00,0.00,6820.32
540,198 BAY STATE ROAD,Residential,26151,0.00,1700.00,5085.87
541,199 BAY STATE ROAD,Residential,34663,1254.00,3172.90,6780.59
543,177 BAY STATE ROAD,Residential,28363,1143.00,1792.60,7128.95
544,179 BAY STATE ROAD,Residential,38399,305.00,2837.00,7057.38
546,196 BAY STATE ROAD,Residential,29513,35.00,860.30,4932.22
547,214 BAY STATE ROAD,Residential,25861,5151.00,0.00,6285.53
553,157 BAY STATE ROAD,Residential,39029,0.00,4700.00,9551.19
554,195-197 BAY STATE ROAD,Residential,66839,1902.00,4249.10,13747.44
555,11 BAY STATE ROAD,Residential,9992.67,0.00,0.00,9596.25
556,193 BAY STATE ROAD,Residential,36273,3268.00,0.00,6974.95
557,201 BAY STATE ROAD,Residential,31459,6067.00,0.00,6933.11
558,203 BAY STATE ROAD,Residential,26592,4095.00,0.00,6954.06
560,181 BAY STATE ROAD,Residential,44199,2890.00,0.00,7200.27
563,117 BAY STATE ROAD,Residential,63063,0.00,0.00,10143.13
565,194 BAY STATE ROAD,Residential,32747,8556.00,0.00,4916.00
572,180 BAY STATE ROAD,Residential,28392,2262.00,0.00,4846.51
573,210-212 BAY STATE ROAD,Residential,90365,5962.00,0.00,12664.23
574,207 BAY STATE ROAD,Residential,61451,5364.00,0.00,8069.54
576,531 BEACON STREET,Residential,24639,3.00,3953.40,9075.24
583,38 BUSWELL STREET,Residential,50040,0.00,3736.30,9485.88
584,14 BUSWELL STREET,Residential,258702,71340.00,0.00,67049.22
586,40 BUSWELL STREET,Residential,379887,16391.00,27735.00,10572.33
589,31 BUSWELL STREET,Residential,21751,2402.00,0.00,5108.79
590,,Residential,38000,3824.00,0.00,
592,188 BAY STATE ROAD,Residential,55415,0.00,2844.80,4935.27
598,627-629 COMMONWEALTH AVENUE,Residential,136215,0.00,0.00,15342.65
601,113 BAY STATE ROAD,Residential,17297.5,3862.00,0.00,7790.96
604,88 BAY STATE ROAD,Residential,25124,371.00,2137.70,5866.09
607,700 COMMONWEALTH AVENUE,Residential,0,31807.00,0.00,638216.10
618,722  COMMONWEALTH AVENUE,Residential,391372,63362.00,0.00,28633.11
652,580 COMMONWEALTH AVENUE,Residential,1849680,51481.00,0.00,124794.43
653,172 BAY STATE ROAD,Residential,29413,3787.00,0.00,4845.14
654,173 BAY STATE ROAD,Residential,28226,0.00,0.00,6839.99
655,133 BAY STATE ROAD,Residential,29188,0.00,3318.20,7391.01
657,1019 COMMONWEALTH AVENUE,Residential,733140,16839.00,0.00,66904.02
658,135 BAY STATE ROAD,Residential,42889,8305.00,0.00,10409.59
659,,Residential,28228,192.00,2194.10,
660,204 BAY STATE ROAD,Residential,38581,4389.00,0.00,6811.66
665,500-504 PARK DRIVE,Residential,78086,1734.00,5029.80,15401.63
666,515 PARK DRIVE,Residential,27866,7903.00,0.00,8799.25
667,708 COMMONWEALTH AVENUE,Residential,11983,0.00,3685.30,5155.56
668,509 PARK DRIVE,Residential,108197,17359.00,0.00,31409.96
670,11 BUSWELL STREET,Residential,18830,973.00,2699.20,6736.21
676,514-522 PARK DRIVE,Residential,200800,29437.00,0.00,37458.45
678,2 RALEIGH STREET,Residential,32500,1079.00,5571.00,11664.83
680,139 BAY STATE ROAD,Residential,28039,3520.00,0.00,6847.10
683,73 BAY STATE ROAD,Residential,39293,116.00,2732.00,10888.26
